id_alerta,id_solicitud,id_recomendacion,tipo_alerta,severidad,detalle,fecha
1,,20,TEXTO_RIESGO,BAJA,TEXTO_RIESGO sobre recomendación 20,2025-07-10
2,,426,UBICACION_INCONSISTENTE,MEDIA,UBICACION_INCONSISTENTE sobre recomendación 426,2025-08-31
3,139,,UBICACION_INCONSISTENTE,ALTA,UBICACION_INCONSISTENTE sobre solicitud 139,2025-05-01
4,37,,UBICACION_INCONSISTENTE,ALTA,UBICACION_INCONSISTENTE sobre solicitud 37,2025-09-16
5,,157,TEXTO_RIESGO,ALTA,TEXTO_RIESGO sobre recomendación 157,2025-10-08
6,,449,UBICACION_INCONSISTENTE,ALTA,UBICACION_INCONSISTENTE sobre recomendación 449,2025-07-06
7,10,,TEXTO_RIESGO,MEDIA,TEXTO_RIESGO sobre solicitud 10,2025-07-10
8,138,,TEXTO_RIESGO,BAJA,TEXTO_RIESGO sobre solicitud 138,2025-07-26
9,,625,PRECIO_ANOMALO,BAJA,PRECIO_ANOMALO sobre recomendación 625,2025-07-04
10,87,,TEXTO_RIESGO,MEDIA,TEXTO_RIESGO sobre solicitud 87,2025-06-03
11,40,,PRECIO_ANOMALO,BAJA,PRECIO_ANOMALO sobre solicitud 40,2025-09-30
12,85,,PRECIO_ANOMALO,BAJA,PRECIO_ANOMALO sobre solicitud 85,2025-08-04
13,3,,PRECIO_ANOMALO,BAJA,PRECIO_ANOMALO sobre solicitud 3,2025-06-21
14,120,,PRECIO_ANOMALO,BAJA,PRECIO_ANOMALO sobre solicitud 120,2025-08-14
15,110,,UBICACION_INCONSISTENTE,ALTA,UBICACION_INCONSISTENTE sobre solicitud 110,2025-08-18
16,,146,PRECIO_ANOMALO,MEDIA,PRECIO_ANOMALO sobre recomendación 146,2025-08-24
17,,323,UBICACION_INCONSISTENTE,MEDIA,UBICACION_INCONSISTENTE sobre recomendación 323,2025-06-26
18,,216,PRECIO_ANOMALO,MEDIA,PRECIO_ANOMALO sobre recomendación 216,2025-05-08
19,,570,PRECIO_ANOMALO,BAJA,PRECIO_ANOMALO sobre recomendación 570,2025-06-29
20,70,,PRECIO_ANOMALO,BAJA,PRECIO_ANOMALO sobre solicitud 70,2025-05-27
21,18,,PRECIO_ANOMALO,ALTA,PRECIO_ANOMALO sobre solicitud 18,2025-09-19
22,,168,PRECIO_ANOMALO,MEDIA,PRECIO_ANOMALO sobre recomendación 168,2025-10-10
23,,60,TEXTO_RIESGO,BAJA,TEXTO_RIESGO sobre recomendación 60,2025-08-14
