id_calificacion,id_servicio,quien_califica,puntaje,comentario,fecha
1,68,TRABAJADOR,4.6,Precio alto para lo realizado,2025-09-30
2,5,TRABAJADOR,3.5,Llegó tarde pero resolvió,2025-04-27
3,23,TRABAJADOR,3.9,Buena relación calidad/precio,2025-07-10
4,14,SOLICITANTE,4.5,Trabajo rápido y bien hecho,2025-04-29
5,88,TRABAJADOR,3.6,Buena relación calidad/precio,2025-07-19
6,74,TRABAJADOR,4.6,Llegó tarde pero resolvió,2025-04-28
7,25,TRABAJADOR,4.2,Llegó tarde pero resolvió,2025-05-10
8,1,SOLICITANTE,4.2,Llegó tarde pero resolvió,2025-10-18
9,64,SOLICITANTE,3.5,Trabajo rápido y bien hecho,2025-08-18
10,19,TRABAJADOR,4.8,No solucionó del todo,2025-07-26
11,40,SOLICITANTE,5,Precio alto para lo realizado,2025-06-29
12,96,SOLICITANTE,5,Trabajo rápido y bien hecho,2025-07-25
13,21,TRABAJADOR,4.5,Precio alto para lo realizado,2025-07-04
14,22,SOLICITANTE,3.4,Trabajo rápido y bien hecho,2025-09-22
15,53,SOLICITANTE,4.8,Precio alto para lo realizado,2025-07-05
16,84,SOLICITANTE,4.1,Precio alto para lo realizado,2025-10-16
17,83,SOLICITANTE,4.9,Precio alto para lo realizado,2025-07-06
18,32,SOLICITANTE,5,,2025-09-15
19,58,TRABAJADOR,4.9,Excelente trato y limpieza,2025-07-11
20,9,TRABAJADOR,3.2,Llegó tarde pero resolvió,2025-08-10
21,32,TRABAJADOR,4.6,Excelente trato y limpieza,2025-05-29
22,60,TRABAJADOR,4.4,Trabajo rápido y bien hecho,2025-09-02
23,5,SOLICITANTE,4.4,Trabajo rápido y bien hecho,2025-08-07
24,30,SOLICITANTE,3.9,Trabajo rápido y bien hecho,2025-08-10
25,6,SOLICITANTE,4.6,No solucionó del todo,2025-10-12
26,58,SOLICITANTE,4.5,Buena relación calidad/precio,2025-07-20
27,60,SOLICITANTE,4.5,Precio alto para lo realizado,2025-08-06
28,14,SOLICITANTE,5,Llegó tarde pero resolvió,2025-05-06
29,47,TRABAJADOR,4.6,Excelente trato y limpieza,2025-08-04
30,15,SOLICITANTE,5,Precio alto para lo realizado,2025-09-06
31,46,TRABAJADOR,4.3,Excelente trato y limpieza,2025-09-23
32,64,SOLICITANTE,4.7,Llegó tarde pero resolvió,2025-10-12
33,78,TRABAJADOR,5,Precio alto para lo realizado,2025-08-14
34,56,TRABAJADOR,3.8,Llegó tarde pero resolvió,2025-09-05
35,18,TRABAJADOR,4.4,Trabajo rápido y bien hecho,2025-07-01
36,54,TRABAJADOR,5,Buena relación calidad/precio,2025-05-11
37,7,TRABAJADOR,5,No solucionó del todo,2025-08-21
38,33,SOLICITANTE,5,No solucionó del todo,2025-09-12
39,92,TRABAJADOR,4.3,No solucionó del todo,2025-06-26
40,91,SOLICITANTE,4.2,Llegó tarde pero resolvió,2025-08-30
41,104,TRABAJADOR,4.6,Buena relación calidad/precio,2025-08-29
42,101,TRABAJADOR,3.5,Precio alto para lo realizado,2025-08-14
43,16,TRABAJADOR,3.4,Excelente trato y limpieza,2025-07-07
44,53,TRABAJADOR,4.6,Excelente trato y limpieza,2025-05-06
45,62,TRABAJADOR,4.1,Precio alto para lo realizado,2025-06-07
46,56,SOLICITANTE,4.7,No solucionó del todo,2025-09-23
47,75,SOLICITANTE,5,No solucionó del todo,2025-04-27
48,92,TRABAJADOR,4.6,Buena relación calidad/precio,2025-06-17
49,7,TRABAJADOR,4.8,No solucionó del todo,2025-05-21
50,53,SOLICITANTE,5,Buena relación calidad/precio,2025-10-10
51,34,SOLICITANTE,3.5,,2025-05-15
52,48,TRABAJADOR,5,,2025-04-29
53,65,TRABAJADOR,3.3,Buena relación calidad/precio,2025-05-12
54,52,TRABAJADOR,4.1,Trabajo rápido y bien hecho,2025-07-24
