id_recomendacion,id_solicitud,id_trabajador,score_relevancia,distancia_km,motivo_top,precio_estimado,precio_propuesto,explicacion,es_asignado
1,31,10,0.26,0.2,calificacion,278930,317178,Recomendado por calificacion; exp 5 años; distancia 0.2 km; rating 3.67,False
2,50,168,0.754,2.72,calificacion,85889,83303,Recomendado por calificacion; exp 0 años; distancia 2.72 km; rating 4.33,False
3,44,211,0.208,2.67,tarifa,165807,126821,Recomendado por tarifa; exp 12 años; distancia 2.67 km; rating 4.73,False
4,171,212,0.627,4.21,experiencia,111371,118239,Recomendado por experiencia; exp 3 años; distancia 4.21 km; rating 3.75,False
5,22,48,0.309,1.49,tarifa,125261,134015,Recomendado por tarifa; exp 0 años; distancia 1.49 km; rating 4.81,True
6,1,117,0.421,2.72,cercania,164500,202293,Recomendado por cercania; exp 0 años; distancia 2.72 km; rating 4.5,False
7,119,32,0.721,3.65,experiencia,108446,116328,Recomendado por experiencia; exp 8 años; distancia 3.65 km; rating 5,False
8,161,1,0.307,3.37,calificacion,287808,161633,Recomendado por calificacion; exp 2 años; distancia 3.37 km; rating 4.2,False
9,64,117,0.776,4.5,experiencia,90912,63103,Recomendado por experiencia; exp 0 años; distancia 4.5 km; rating 4.5,False
10,34,97,0.202,5.96,experiencia,112078,126495,Recomendado por experiencia; exp 5 años; distancia 5.96 km; rating 4.2,False
11,106,106,0.296,3.81,calificacion,182843,151470,Recomendado por calificacion; exp 8 años; distancia 3.81 km; rating 4.38,False
12,113,74,0.423,4.57,tarifa,261129,294674,Recomendado por tarifa; exp 5 años; distancia 4.57 km; rating 4.82,False
13,176,58,0.33,6.69,experiencia,166996,185116,Recomendado por experiencia; exp 3 años; distancia 6.69 km; rating 4.26,False
14,112,115,0.278,1.16,calificacion,144542,101108,Recomendado por calificacion; exp 8 años; distancia 1.16 km; rating 3.76,False
15,129,116,0.118,4.71,experiencia,287808,175622,Recomendado por experiencia; exp 7 años; distancia 4.71 km; rating 3.45,False
16,120,49,0.552,3.97,experiencia,285022,291945,Recomendado por experiencia; exp 8 años; distancia 3.97 km; rating 3.63,False
17,120,133,0.572,1.86,cercania,285022,367320,Recomendado por cercania; exp 7 años; distancia 1.86 km; rating 3.94,False
18,27,154,0.164,0.28,tarifa,178477,252846,Recomendado por tarifa; exp 7 años; distancia 0.28 km; rating 3.81,False
19,166,26,0.204,3.72,experiencia,293353,357077,Recomendado por experiencia; exp 4 años; distancia 3.72 km; rating 3.52,False
20,113,189,0.358,0.48,tarifa,261129,284239,Recomendado por tarifa; exp 5 años; distancia 0.48 km; rating 3.74,False
21,63,92,0.481,2.55,tarifa,147350,98115,Recomendado por tarifa; exp 1 años; distancia 2.55 km; rating 4.09,False
22,60,194,0.318,4.64,tarifa,187686,218679,Recomendado por tarifa; exp 3 años; distancia 4.64 km; rating 4.36,False
23,42,119,0.615,3.85,experiencia,125999,149042,Recomendado por experiencia; exp 9 años; distancia 3.85 km; rating 4.91,False
24,146,45,0.831,4.23,cercania,253654,295240,Recomendado por cercania; exp 4 años; distancia 4.23 km; rating 4.57,False
25,37,118,0.164,1.84,experiencia,73907,76756,Recomendado por experiencia; exp 4 años; distancia 1.84 km; rating 4.6,False
26,45,104,0.728,2.55,tarifa,169839,195211,Recomendado por tarifa; exp 6 años; distancia 2.55 km; rating 3.89,True
27,63,72,0.36,1.46,tarifa,147350,82043,Recomendado por tarifa; exp 9 años; distancia 1.46 km; rating 3.93,True
