id_servicio,id_solicitud,id_trabajador,fecha_asignacion,fecha_cierre,costo_final_cop,aplica_iva,valor_iva_cop,retencion_fuente_cop,estado
1,94,22,2025-07-21 08:47:00,,108879,False,0,0,CANCELADO
2,18,18,2025-05-06 08:49:00,2025-05-08 05:49:00,99137,True,18836,0,FINALIZADO
3,162,110,2025-09-07 08:12:00,,154460,False,0,0,EJECUCION
4,125,220,2025-07-13 11:12:00,2025-07-14 14:12:00,147733,False,0,0,FINALIZADO
5,148,76,2025-05-21 08:29:00,,229623,False,0,0,ASIGNADO
6,115,41,2025-10-14 08:38:00,,205590,True,39062,5139,EJECUCION
7,57,36,2025-08-10 22:42:00,2025-08-11 22:42:00,187630,False,0,0,FINALIZADO
8,136,86,2025-07-29 12:13:00,,129413,True,24588,0,CANCELADO
9,125,38,2025-07-08 14:37:00,,114073,False,0,0,ASIGNADO
10,134,99,2025-05-06 18:18:00,,302735,False,0,0,ASIGNADO
11,63,72,2025-05-18 14:18:00,,82983,True,15766,2074,ASIGNADO
12,63,197,2025-08-22 09:59:00,,162170,False,0,0,EJECUCION
13,115,46,2025-08-29 22:10:00,,269765,False,0,0,EJECUCION
14,24,96,2025-08-27 11:06:00,,76801,True,14592,0,EJECUCION
15,157,13,2025-08-09 16:47:00,,210140,False,0,0,CANCELADO
16,40,215,2025-08-11 13:56:00,,478207,False,0,0,ASIGNADO
17,83,162,2025-06-08 16:26:00,,194717,False,0,0,ASIGNADO
18,99,209,2025-04-29 19:25:00,,180472,False,0,0,ASIGNADO
19,7,90,2025-10-20 18:55:00,,98933,False,0,0,CANCELADO
20,25,213,2025-05-31 17:48:00,,426898,False,0,0,ASIGNADO
21,134,143,2025-05-30 11:11:00,,248931,True,47296,0,EJECUCION
22,35,196,2025-10-14 17:00:00,2025-10-15 23:00:00,101317,False,0,0,FINALIZADO
23,171,118,2025-05-20 14:25:00,,113512,False,0,0,EJECUCION
24,91,107,2025-06-07 10:20:00,,127946,False,0,0,CANCELADO
25,130,56,2025-09-23 14:15:00,,183485,False,0,0,CANCELADO
26,107,190,2025-04-28 10:57:00,,33662,False,0,0,ASIGNADO
27,75,90,2025-05-02 13:42:00,,245813,False,0,0,CANCELADO
28,178,142,2025-08-31 10:19:00,2025-09-02 03:19:00,177571,False,0,0,FINALIZADO
29,125,74,2025-09-02 08:41:00,,95098,False,0,0,ASIGNADO
30,108,26,2025-08-19 20:05:00,2025-08-20 13:05:00,382760,False,0,0,FINALIZADO
31,84,119,2025-09-10 20:24:00,,190490,False,0,0,CANCELADO
32,147,126,2025-04-30 20:17:00,,186604,False,0,0,CANCELADO
33,32,13,2025-09-28 20:31:00,,180217,False,0,0,CANCELADO
34,65,193,2025-08-13 21:45:00,,274180,False,0,0,EJECUCION
35,116,61,2025-05-27 22:36:00,,169478,False,0,0,EJECUCION
36,134,99,2025-09-07 22:00:00,,468182,False,0,0,CANCELADO
37,68,206,2025-10-15 13:23:00,,133683,False,0,0,ASIGNADO
38,175,199,2025-07-25 18:46:00,2025-07-27 08:46:00,120663,False,0,0,FINALIZADO
39,113,25,2025-05-03 09:10:00,2025-05-04 10:10:00,206219,False,0,0,FINALIZADO
40,53,123,2025-07-01 11:59:00,,97654,False,0,0,CANCELADO
41,121,10,2025-08-02 10:22:00,2025-08-04 07:22:00,109933,False,0,0,FINALIZADO
42,7,22,2025-09-07 14:50:00,,52489,False,0,0,CANCELADO
43,30,30,2025-06-19 09:21:00,,70317,False,0,0,CANCELADO
44,69,36,2025-07-16 16:46:00,,189395,True,35985,0,CANCELADO
45,105,11,2025-08-01 11:25:00,,127868,False,0,0,EJECUCION
46,100,215,2025-10-16 09:14:00,,396539,False,0,0,ASIGNADO
47,123,170,2025-08-02 17:01:00,,102188,False,0,0,CANCELADO
48,66,145,2025-09-14 06:39:00,2025-09-16 03:39:00,179625,False,0,0,FINALIZADO
49,14,14,2025-07-06 13:00:00,,109979,False,0,0,EJECUCION
50,51,166,2025-09-02 08:59:00,,121108,False,0,0,ASIGNADO
51,16,208,2025-09-24 11:03:00,,96261,False,0,0,EJECUCION
52,42,75,2025-07-01 08:53:00,2025-07-02 06:53:00,160924,True,30575,4023,FINALIZADO
53,150,180,2025-07-08 09:20:00,2025-07-09 00:20:00,197036,True,37436,0,FINALIZADO
54,17,46,2025-08-09 22:06:00,,116107,False,0,0,EJECUCION
55,11,102,2025-08-16 07:01:00,2025-08-16 15:01:00,107857,False,0,0,FINALIZADO
56,99,209,2025-07-05 07:49:00,2025-07-06 18:49:00,173913,True,33043,4347,FINALIZADO
57,3,8,2025-05-25 22:30:00,,147475,False,0,0,ASIGNADO
58,11,42,2025-04-25 17:08:00,,80255,False,0,0,EJECUCION
59,148,42,2025-09-05 17:25:00,,174668,False,0,0,EJECUCION
60,3,78,2025-08-11 07:20:00,,216400,False,0,0,CANCELADO
61,49,1,2025-08-17 20:17:00,2025-08-19 06:17:00,293606,False,0,0,FINALIZADO
62,119,102,2025-07-19 14:34:00,2025-07-20 19:34:00,109625,False,0,0,FINALIZADO
63,70,133,2025-07-26 15:11:00,,281987,True,53577,7049,EJECUCION
64,122,183,2025-10-18 16:01:00,,119339,False,0,0,EJECUCION
65,95,58,2025-04-25 07:09:00,2025-04-25 23:09:00,59216,False,0,0,FINALIZADO
66,107,168,2025-05-12 10:41:00,,109337,False,0,0,ASIGNADO
67,116,61,2025-07-14 12:00:00,2025-07-16 01:00:00,255725,True,48587,0,FINALIZADO
68,110,19,2025-06-09 09:18:00,2025-06-11 02:18:00,356942,True,67818,0,FINALIZADO
69,141,213,2025-07-31 21:09:00,,190233,False,0,0,CANCELADO
70,22,48,2025-08-10 20:46:00,2025-08-11 07:46:00,124583,False,0,0,FINALIZADO
71,148,204,2025-04-25 17:54:00,,234596,False,0,0,EJECUCION
72,158,116,2025-05-11 12:51:00,,277453,False,0,0,EJECUCION
73,37,135,2025-05-21 12:53:00,,94235,False,0,0,ASIGNADO
74,166,48,2025-10-06 15:39:00,,393608,True,74785,0,ASIGNADO
75,92,28,2025-05-17 13:26:00,2025-05-18 13:26:00,140674,False,0,0,FINALIZADO
76,123,11,2025-04-30 11:49:00,,186279,False,0,0,CANCELADO
77,89,123,2025-10-21 20:11:00,,116837,True,22199,0,EJECUCION
78,44,129,2025-07-25 14:30:00,,158005,False,0,0,EJECUCION
79,61,129,2025-09-17 16:09:00,,95692,False,0,0,ASIGNADO
80,46,58,2025-08-18 13:46:00,,102094,False,0,0,ASIGNADO
81,100,113,2025-09-11 20:07:00,,333543,True,63373,8338,CANCELADO
82,123,15,2025-06-18 11:53:00,,239184,True,45444,5979,ASIGNADO
83,147,43,2025-09-18 12:47:00,,246473,False,0,0,CANCELADO
84,49,215,2025-07-16 08:40:00,2025-07-17 01:40:00,144360,True,27428,0,FINALIZADO
85,76,111,2025-06-05 17:44:00,,334900,False,0,0,EJECUCION
86,12,66,2025-07-14 15:17:00,,61952,True,11770,0,CANCELADO
87,144,80,2025-08-20 13:10:00,,110667,False,0,0,CANCELADO
88,180,18,2025-06-29 21:39:00,,364266,True,69210,9106,ASIGNADO
89,54,109,2025-09-20 06:11:00,,66276,True,12592,0,EJECUCION
90,64,51,2025-09-23 22:58:00,,83433,False,0,0,CANCELADO
91,64,73,2025-06-17 16:08:00,,63541,False,0,0,EJECUCION
92,142,19,2025-05-19 17:25:00,,257779,False,0,0,ASIGNADO
93,32,12,2025-06-07 07:16:00,,105640,False,0,0,CANCELADO
94,166,113,2025-09-03 22:55:00,,307766,True,58475,7694,CANCELADO
95,16,162,2025-10-21 22:22:00,,153996,False,0,0,EJECUCION
96,41,97,2025-05-04 06:17:00,2025-05-04 13:17:00,145537,True,27652,3638,FINALIZADO
