id_tarifa,id_oficio,ciudad,precio_min,precio_max,fuente
1,1,Bogotá,57486,114293,Panel mercado sintético 2025
2,2,Bogotá,68492,92212,Panel mercado sintético 2025
3,3,Bogotá,162000,167000,Panel mercado sintético 2025
4,4,Bogotá,234000,239000,Panel mercado sintético 2025
5,5,Bogotá,151959,250748,Panel mercado sintético 2025
6,6,Bogotá,96071,188174,Panel mercado sintético 2025
7,7,Bogotá,139514,245504,Panel mercado sintético 2025
8,8,Bogotá,125105,397153,Panel mercado sintético 2025
9,9,Bogotá,110306,198571,Panel mercado sintético 2025
10,10,Bogotá,140645,429399,Panel mercado sintético 2025
11,11,Bogotá,129822,148828,Panel mercado sintético 2025
12,12,Bogotá,101643,207461,Panel mercado sintético 2025
13,1,Medellín,162000,167000,Panel mercado sintético 2025
14,2,Medellín,86723,136019,Panel mercado sintético 2025
15,3,Medellín,68711,121588,Panel mercado sintético 2025
16,4,Medellín,89451,134757,Panel mercado sintético 2025
17,5,Medellín,100161,167942,Panel mercado sintético 2025
18,6,Medellín,152719,175834,Panel mercado sintético 2025
19,7,Medellín,113309,198195,Panel mercado sintético 2025
20,8,Medellín,247248,336684,Panel mercado sintético 2025
21,9,Medellín,144847,198850,Panel mercado sintético 2025
22,10,Medellín,226708,327409,Panel mercado sintético 2025
23,11,Medellín,106438,193213,Panel mercado sintético 2025
24,12,Medellín,87100,164899,Panel mercado sintético 2025
25,1,Cali,87724,99161,Panel mercado sintético 2025
26,2,Cali,52465,101186,Panel mercado sintético 2025
27,3,Cali,58254,96940,Panel mercado sintético 2025
28,4,Cali,72833,133934,Panel mercado sintético 2025
29,5,Cali,297000,302000,Panel mercado sintético 2025
30,6,Cali,133653,219565,Panel mercado sintético 2025
31,7,Cali,91579,218173,Panel mercado sintético 2025
32,8,Cali,239277,447691,Panel mercado sintético 2025
33,9,Cali,133788,205890,Panel mercado sintético 2025
34,10,Cali,135331,444133,Panel mercado sintético 2025
35,11,Cali,101104,194493,Panel mercado sintético 2025
36,12,Cali,149615,218562,Panel mercado sintético 2025
37,1,Barranquilla,52178,96453,Panel mercado sintético 2025
38,2,Barranquilla,55414,129334,Panel mercado sintético 2025
39,3,Barranquilla,78962,83962,Panel mercado sintético 2025
