id_trab_oficio,id_trabajador,id_oficio,tarifa_hora_promedio,tarifa_visita,certificaciones
1,1,10,103660,36896,Cert. eléctrica RETIE
2,2,1,49815,77258,Trabajo en alturas
3,2,9,43650,48693,Gasodomésticos básica
4,3,2,109908,26676,Trabajo en alturas
5,4,9,112565,33460,Cert. eléctrica RETIE
6,5,12,96308,77048,
7,5,5,77675,29029,
8,6,8,30863,73028,Gasodomésticos básica
9,6,7,96194,37433,Cert. eléctrica RETIE
10,7,6,99422,34954,SENA
11,7,11,84186,78855,Gasodomésticos básica
12,7,4,216000,64708,Cert. eléctrica RETIE
13,8,8,31303,53904,
14,9,6,51538,45773,
15,10,10,216000,144000,Trabajo en alturas
16,10,1,216000,78050,Trabajo en alturas
17,11,12,31035,78996,Trabajo en alturas
18,11,6,49249,49241,SENA
19,12,12,69522,55221,Cert. eléctrica RETIE
20,12,6,46515,55441,Cert. eléctrica RETIE
21,12,7,97065,54166,Cert. eléctrica RETIE
22,13,1,100770,35816,Cert. eléctrica RETIE
23,13,12,96227,23928,Cert. eléctrica RETIE
24,14,11,36256,28175,Gasodomésticos básica
25,14,9,30683,35472,Trabajo en alturas
26,15,6,105073,66815,Gasodomésticos básica
27,15,5,62457,53846,Trabajo en alturas
28,16,6,85796,25370,
29,16,8,47047,49239,
30,17,11,103265,45872,Cert. eléctrica RETIE
31,17,9,113422,48841,Gasodomésticos básica
32,18,3,89993,66171,Trabajo en alturas
33,18,12,45474,49847,Gasodomésticos básica
34,18,9,15000,56636,Cert. eléctrica RETIE
35,19,10,44461,57471,Cert. eléctrica RETIE
36,20,9,78688,44540,Cert. eléctrica RETIE
37,21,8,48630,47640,
38,21,1,69998,34128,SENA
39,22,1,35856,57556,Cert. eléctrica RETIE
40,22,2,74279,51144,Trabajo en alturas
41,22,9,48156,50207,Gasodomésticos básica
42,23,3,117097,45377,SENA
43,23,6,74433,63938,Gasodomésticos básica
44,23,2,114661,30853,
45,24,9,103315,60547,Trabajo en alturas
46,24,11,36930,144000,Trabajo en alturas
47,25,8,45765,54855,SENA
48,25,9,216000,33487,SENA
49,26,2,107187,10000,
50,26,9,53659,76337,Trabajo en alturas
51,26,10,63708,26509,Trabajo en alturas
52,27,5,41747,46691,SENA
53,27,3,72636,66746,
54,28,7,84109,36903,Gasodomésticos básica
55,28,2,45855,35703,Trabajo en alturas
56,29,8,80469,37648,
57,29,9,102498,51730,
58,30,11,106830,36142,Trabajo en alturas
59,30,4,46458,46656,Gasodomésticos básica
60,30,1,113335,71306,SENA
61,31,9,100455,144000,Trabajo en alturas
62,31,3,30131,74353,Trabajo en alturas
63,32,11,15000,51600,Cert. eléctrica RETIE
64,32,3,119128,43030,SENA
65,33,1,103804,25879,Gasodomésticos básica
66,33,3,48304,38314,Gasodomésticos básica
67,34,10,216000,64702,Cert. eléctrica RETIE
68,34,9,89338,63402,Cert. eléctrica RETIE
69,35,4,216000,79901,SENA
70,35,8,30268,20280,
71,36,7,94091,55266,
72,36,9,115078,55300,
73,37,11,216000,59407,Cert. eléctrica RETIE
74,37,2,31105,44279,SENA
75,37,6,59035,69703,Cert. eléctrica RETIE
76,38,4,111951,67042,SENA
77,38,2,94724,144000,
78,39,8,55701,144000,Gasodomésticos básica
79,39,10,66352,52375,SENA
80,40,11,109032,24283,Trabajo en alturas
81,40,10,38526,57349,SENA
82,41,4,15000,144000,Trabajo en alturas
83,41,11,119218,49748,
84,42,11,72336,46665,Cert. eléctrica RETIE
85,42,12,97933,43689,Trabajo en alturas
86,42,1,59431,10000,Gasodomésticos básica
87,43,6,40722,72931,
88,43,1,216000,65190,Gasodomésticos básica
89,43,7,216000,32902,SENA
90,44,5,42678,10000,Gasodomésticos básica
91,44,2,107664,41908,Cert. eléctrica RETIE
92,45,2,74669,73846,Cert. eléctrica RETIE
93,45,8,61030,70839,Trabajo en alturas
94,46,2,41211,144000,
95,46,11,38523,24063,Gasodomésticos básica
96,46,8,110050,24311,
97,47,9,79998,60455,Gasodomésticos básica
98,48,10,89429,72111,Gasodomésticos básica
99,48,11,111163,62658,
100,49,9,43459,10000,
101,49,6,55377,28256,Trabajo en alturas
102,49,10,85182,60688,Gasodomésticos básica
103,50,4,37928,58307,Gasodomésticos básica
104,50,3,115420,40394,Trabajo en alturas
105,51,3,74944,20529,Trabajo en alturas
106,51,8,118906,35557,Trabajo en alturas
107,52,7,56263,33189,
108,53,4,91263,41701,Trabajo en alturas
109,53,11,73995,47439,Cert. eléctrica RETIE
110,54,2,35530,20242,SENA
111,54,8,91149,35664,Gasodomésticos básica
112,55,12,54149,20440,Cert. eléctrica RETIE
113,55,7,15000,56352,
114,56,5,106767,43587,
115,56,8,216000,38618,SENA
116,57,5,102680,32844,
117,57,3,64313,21375,SENA
118,58,11,69986,44224,Cert. eléctrica RETIE
119,58,2,99065,144000,Trabajo en alturas
120,58,6,38569,77850,SENA
121,59,4,79054,48150,SENA
122,59,9,110744,75996,Trabajo en alturas
123,60,3,112504,77203,SENA
124,60,6,106556,33712,
125,61,11,80871,62275,Trabajo en alturas
126,61,10,98012,41091,Cert. eléctrica RETIE
127,61,2,93346,52426,Gasodomésticos básica
128,62,10,106543,33579,SENA
129,62,7,89255,45945,SENA
130,63,7,79034,25554,SENA
131,63,12,68672,43040,SENA
132,64,8,74089,50641,Gasodomésticos básica
133,65,6,33239,35321,Cert. eléctrica RETIE
134,65,8,77067,39301,Trabajo en alturas
135,65,12,114365,38115,SENA
136,66,2,35017,41873,SENA
137,67,5,119592,32493,Trabajo en alturas
138,67,12,216000,144000,Trabajo en alturas
139,68,1,75433,46464,Gasodomésticos básica
140,68,5,115892,10000,Trabajo en alturas
141,69,7,57508,53805,Trabajo en alturas
142,69,4,91438,50238,Cert. eléctrica RETIE
143,70,6,86202,65740,Gasodomésticos básica
144,71,8,33945,57847,SENA
145,71,12,31268,63178,Cert. eléctrica RETIE
146,72,4,82870,65253,Trabajo en alturas
147,72,7,106933,10000,
148,73,3,109036,57609,Gasodomésticos básica
149,73,6,216000,45600,
150,74,4,89183,39965,
151,74,8,118458,22101,Trabajo en alturas
152,74,2,54470,79725,Gasodomésticos básica
153,75,4,98733,23765,Cert. eléctrica RETIE
154,75,12,52521,79625,Gasodomésticos básica
155,76,3,92685,45493,SENA
156,76,2,56958,73601,Gasodomésticos básica
157,76,12,105378,58501,SENA
158,77,5,216000,74039,Gasodomésticos básica
159,77,4,62353,79657,Trabajo en alturas
160,77,1,90319,22561,
161,78,11,68987,73964,SENA
162,78,8,53537,68053,Gasodomésticos básica
163,79,7,42521,22861,SENA
164,79,11,50700,61162,Trabajo en alturas
165,79,3,38748,67343,SENA
166,80,7,216000,26895,Trabajo en alturas
167,80,9,72731,30802,Cert. eléctrica RETIE
168,80,2,35850,24796,Gasodomésticos básica
169,81,6,31407,66471,SENA
170,81,7,90849,24471,
171,81,4,61757,48686,SENA
172,82,5,109559,39277,
173,82,3,81229,64000,
174,82,11,50119,31661,SENA
175,83,11,87941,74820,Trabajo en alturas
176,84,7,88194,20305,
177,85,4,56212,47635,
178,85,12,216000,32592,
179,85,6,42661,74424,SENA
180,86,1,72879,61077,SENA
181,86,7,101002,48041,
182,87,4,52756,10000,Cert. eléctrica RETIE
183,87,2,15000,34424,
184,88,11,38825,46941,Cert. eléctrica RETIE
185,88,10,95480,144000,
186,89,5,112689,64426,SENA
187,89,2,113277,65064,Cert. eléctrica RETIE
188,90,2,106681,53490,SENA
189,90,6,31742,60393,
190,90,1,86164,60616,
191,91,3,68877,44625,SENA
192,92,4,108390,144000,Gasodomésticos básica
193,93,3,35191,47190,Cert. eléctrica RETIE
194,93,5,60016,41710,Cert. eléctrica RETIE
195,94,4,117163,144000,SENA
196,94,9,80002,32028,Gasodomésticos básica
197,95,2,39173,144000,
198,96,4,107677,72116,SENA
199,96,3,40245,50610,Cert. eléctrica RETIE
200,97,12,53125,39864,Cert. eléctrica RETIE
201,97,4,113309,76519,Gasodomésticos básica
202,98,6,51989,47701,Trabajo en alturas
203,99,3,86019,69732,Cert. eléctrica RETIE
204,99,8,50027,31514,Cert. eléctrica RETIE
205,99,1,70088,44585,Trabajo en alturas
206,100,2,55652,32427,
207,100,6,15000,67536,Cert. eléctrica RETIE
208,100,3,84502,68640,Cert. eléctrica RETIE
209,101,8,35089,144000,
210,101,5,104135,70000,Gasodomésticos básica
211,101,10,216000,69255,Cert. eléctrica RETIE
212,102,11,85579,35882,Gasodomésticos básica
213,102,6,15000,61350,
214,102,1,114585,59677,Gasodomésticos básica
215,103,5,116848,20808,
216,103,4,114462,45188,Gasodomésticos básica
217,104,9,85436,47975,Cert. eléctrica RETIE
218,105,9,80172,68099,Gasodomésticos básica
219,105,12,41648,57526,Cert. eléctrica RETIE
220,106,5,82162,20420,SENA
221,106,4,30206,70708,Gasodomésticos básica
222,107,11,79106,28803,SENA
223,107,5,95878,49534,Trabajo en alturas
224,107,7,54331,69146,SENA
225,108,5,111844,61709,SENA
226,108,7,41233,38137,
227,109,1,93595,26606,
228,109,10,30947,71721,
229,110,4,30951,54083,Cert. eléctrica RETIE
230,111,8,78599,42483,Cert. eléctrica RETIE
231,111,6,77344,44801,Trabajo en alturas
232,111,10,76665,72839,
233,112,8,82665,78194,SENA
234,113,10,99550,65827,SENA
235,114,8,92285,63268,SENA
236,114,10,15000,73255,Cert. eléctrica RETIE
237,115,11,35997,144000,Cert. eléctrica RETIE
238,116,4,110293,42828,Gasodomésticos básica
239,116,10,92406,144000,
240,116,8,68517,66657,SENA
241,117,3,41415,64109,Trabajo en alturas
242,118,3,100866,33870,SENA
243,118,8,116474,26912,Gasodomésticos básica
244,118,2,216000,10000,Cert. eléctrica RETIE
245,119,5,117897,28896,Trabajo en alturas
246,119,4,94482,65336,Cert. eléctrica RETIE
247,119,12,105493,59366,
248,120,7,103649,144000,Gasodomésticos básica
249,120,12,59301,39069,
250,121,2,107620,68799,
251,122,3,216000,20110,Cert. eléctrica RETIE
252,122,6,100202,45437,Gasodomésticos básica
253,123,6,46555,59427,Trabajo en alturas
254,123,11,81814,10000,Gasodomésticos básica
255,124,3,95514,29661,Trabajo en alturas
256,124,5,117208,74247,
257,125,5,216000,75552,Trabajo en alturas
258,125,9,58272,66146,Gasodomésticos básica
259,126,6,57605,73111,SENA
260,127,3,81355,73412,SENA
261,128,9,85369,42826,Gasodomésticos básica
262,129,2,55571,55914,Gasodomésticos básica
263,129,9,72391,58036,
264,129,5,69855,30727,Trabajo en alturas
265,130,8,48982,72714,SENA
266,130,12,31197,76108,Trabajo en alturas
267,131,11,49346,47991,SENA
268,132,2,92111,23438,
269,133,10,216000,46476,SENA
270,133,7,15000,52022,Cert. eléctrica RETIE
271,134,11,117914,70969,Gasodomésticos básica
272,134,7,115237,61440,Gasodomésticos básica
273,135,1,45997,63829,Trabajo en alturas
274,135,2,106919,57527,Gasodomésticos básica
275,136,12,53736,62244,Gasodomésticos básica
276,136,2,46414,24161,Trabajo en alturas
277,137,7,100309,54739,Gasodomésticos básica
278,137,1,106640,73662,
279,138,11,108525,20348,Trabajo en alturas
280,138,2,71195,28442,Trabajo en alturas
281,139,11,63654,22294,
282,139,3,216000,43826,Trabajo en alturas
283,140,7,15000,54042,Cert. eléctrica RETIE
284,140,11,88316,52141,Cert. eléctrica RETIE
285,141,10,42977,22931,SENA
286,141,9,15000,76104,SENA
287,142,10,77063,67782,Trabajo en alturas
288,142,9,102069,45020,SENA
289,143,8,48775,24624,Cert. eléctrica RETIE
290,143,2,216000,32624,Cert. eléctrica RETIE
291,143,5,114904,59645,SENA
292,144,3,109116,37702,
293,144,6,119650,24322,Cert. eléctrica RETIE
294,144,7,77555,70991,Cert. eléctrica RETIE
295,145,4,15000,34563,Gasodomésticos básica
296,145,5,216000,28093,SENA
297,146,10,75731,76714,Cert. eléctrica RETIE
298,146,8,109621,23143,SENA
299,147,7,118842,144000,Trabajo en alturas
300,147,3,82776,28360,Cert. eléctrica RETIE
301,148,11,50380,29350,Gasodomésticos básica
302,149,1,216000,36325,Trabajo en alturas
303,149,11,90003,43199,Gasodomésticos básica
304,150,5,59984,76224,
305,150,7,83282,75394,
306,151,2,42272,23762,
307,152,9,31401,144000,Gasodomésticos básica
308,152,8,47881,53751,Trabajo en alturas
309,153,7,15000,74486,
310,154,12,116661,144000,Trabajo en alturas
311,154,9,35551,31044,Trabajo en alturas
312,154,6,52913,75011,SENA
313,155,1,52345,27420,Cert. eléctrica RETIE
314,155,7,62737,75756,
